epoch,learning_rate,loss,mae,val_loss,val_mae
0,9.999999747378752e-05,0.0967058390378952,0.2798587381839752,0.033715829253196716,0.1519678235054016
1,9.999999747378752e-05,0.036420125514268875,0.16202887892723083,0.032684992998838425,0.16820737719535828
2,9.999999747378752e-05,0.02867419831454754,0.14040808379650116,0.023365337401628494,0.12008001655340195
3,9.999999747378752e-05,0.024045145139098167,0.12640836834907532,0.02120618335902691,0.11428653448820114
4,9.999999747378752e-05,0.020897570997476578,0.11549348384141922,0.02023276872932911,0.10950978845357895
5,9.999999747378752e-05,0.017944691702723503,0.10594413429498672,0.01874668337404728,0.10183359682559967
6,9.999999747378752e-05,0.016507726162672043,0.09922443330287933,0.02178192138671875,0.12428108602762222
7,9.999999747378752e-05,0.015839004889130592,0.09732488542795181,0.01702580414712429,0.09323184937238693
8,9.999999747378752e-05,0.01505565270781517,0.0927639827132225,0.01781422458589077,0.09684675186872482
9,9.999999747378752e-05,0.014688468538224697,0.09145636856555939,0.01467219926416874,0.08117981255054474
10,9.999999747378752e-05,0.014040694572031498,0.08852789551019669,0.019171005114912987,0.09586925059556961
11,9.999999747378752e-05,0.013241346925497055,0.08630627393722534,0.015494195744395256,0.08649592101573944
12,9.999999747378752e-05,0.012823403812944889,0.08468350023031235,0.01996772363781929,0.1164250373840332
13,4.999999873689376e-05,0.010012896731495857,0.07247324287891388,0.014091311022639275,0.07631118595600128
14,4.999999873689376e-05,0.009929397143423557,0.07217075675725937,0.014016520231962204,0.07521819323301315
15,4.999999873689376e-05,0.009633753448724747,0.07096492499113083,0.014791499823331833,0.07686313986778259
16,4.999999873689376e-05,0.009516318328678608,0.07062233984470367,0.014121659100055695,0.07891444861888885
17,4.999999873689376e-05,0.009329927153885365,0.0699755847454071,0.014965501613914967,0.08212262392044067
18,2.499999936844688e-05,0.008206517435610294,0.06366714835166931,0.013646564446389675,0.07236191630363464
19,2.499999936844688e-05,0.008167707361280918,0.06385762244462967,0.014229672029614449,0.07861773669719696
20,2.499999936844688e-05,0.008104505948722363,0.06314681470394135,0.012909764423966408,0.07115757465362549
21,2.499999936844688e-05,0.008040748536586761,0.06276114284992218,0.013393565081059933,0.07170016318559647
22,2.499999936844688e-05,0.00783303938806057,0.06259343028068542,0.013002260588109493,0.07210969179868698
23,2.499999936844688e-05,0.007737740874290466,0.061911314725875854,0.01327054388821125,0.07277506589889526
24,1.249999968422344e-05,0.007271968759596348,0.05891778692603111,0.01284563448280096,0.06968190521001816
25,1.249999968422344e-05,0.007239480968564749,0.05892490595579147,0.013039055280387402,0.0689278319478035
26,1.249999968422344e-05,0.007178840693086386,0.05884313955903053,0.01298756804317236,0.0696101188659668
27,1.249999968422344e-05,0.007050015032291412,0.05847945436835289,0.013668878003954887,0.0723208636045456
28,1.249999968422344e-05,0.007017836906015873,0.05838003754615784,0.013435417786240578,0.0708109438419342
29,6.24999984211172e-06,0.006833862513303757,0.05674833804368973,0.012935166247189045,0.06797263771295547
30,6.24999984211172e-06,0.00676753232255578,0.05651281028985977,0.013050122186541557,0.06816200911998749
31,6.24999984211172e-06,0.006803526543080807,0.05683639273047447,0.013181108981370926,0.068997323513031
32,6.24999984211172e-06,0.006704405415803194,0.056439727544784546,0.01314693596214056,0.06895937770605087
33,3.12499992105586e-06,0.00659908028319478,0.05568072944879532,0.01297564897686243,0.0680847093462944
34,3.12499992105586e-06,0.006576929707080126,0.055579934269189835,0.012987694703042507,0.06815123558044434
35,3.12499992105586e-06,0.006464167032390833,0.05521963909268379,0.012934801168739796,0.06882506608963013
36,1.56249996052793e-06,0.006414338946342468,0.05482776090502739,0.01298423483967781,0.06818389892578125
37,1.56249996052793e-06,0.00643807603046298,0.05488308146595955,0.01296217180788517,0.06756051629781723
38,1.56249996052793e-06,0.006382601801306009,0.05480606108903885,0.013003095984458923,0.06777714192867279
39,1.56249996052793e-06,0.00642091128975153,0.054744571447372437,0.013066530227661133,0.06778118759393692
40,1.56249996052793e-06,0.006457246840000153,0.05480477586388588,0.013018744066357613,0.06744732707738876
41,1.56249996052793e-06,0.0064174216240644455,0.054802969098091125,0.012963663786649704,0.06737734377384186
42,1.56249996052793e-06,0.006381910294294357,0.05481603369116783,0.013031315989792347,0.06753183156251907
43,1.56249996052793e-06,0.006364043336361647,0.054671384394168854,0.012991421855986118,0.06805207580327988
44,9.999999974752427e-07,0.006434566341340542,0.05474866181612015,0.012966051697731018,0.06766088306903839
45,9.999999974752427e-07,0.006349855102598667,0.054531753063201904,0.013002101331949234,0.0676075890660286
46,9.999999974752427e-07,0.006427681539207697,0.05468279495835304,0.012927187606692314,0.06742412596940994
47,9.999999974752427e-07,0.006380378734320402,0.05450882762670517,0.012961743399500847,0.06777801364660263
48,9.999999974752427e-07,0.006377896759659052,0.05453622713685036,0.012955990619957447,0.0672990158200264
49,9.999999974752427e-07,0.006384821608662605,0.05462228134274483,0.013094380497932434,0.06847120076417923
